Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,mutation_rate,mutation_variance
979,9800,1.0531480312347412,1.025673747062683,1.02645742893219,1.0088990926742554,10,21.18867188488782,tiger_cat,0.13657020032405853,red_fox,0.0834222063422203,grey_fox,0.06975589692592621,Egyptian_cat,0.0176291074603796,tabby,0.0176011323928833,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
980,9810,1.0454654693603516,1.0272032022476196,1.0283876657485962,0.9926595091819763,10,20.964682817463398,tiger_cat,0.13471175730228424,red_fox,0.08924544602632523,grey_fox,0.07238166034221649,Egyptian_cat,0.01798490434885025,tabby,0.01703883893787861,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
981,9820,1.0338283777236938,1.0258820056915283,1.028022289276123,1.012037992477417,10,15.937642516851419,tiger_cat,0.1270533800125122,red_fox,0.09317319095134735,grey_fox,0.07589098811149597,tabby,0.017080478370189667,Egyptian_cat,0.016918843612074852,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
982,9830,1.0396674871444702,1.023651123046875,1.0234309434890747,1.0096864700317383,10,16.399384294780397,tiger_cat,0.12637892365455627,red_fox,0.08671221137046814,grey_fox,0.07463829964399338,tabby,0.01681196503341198,Egyptian_cat,0.016712922602891922,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
983,9840,1.036732792854309,1.0227142572402954,1.0229225158691406,1.0109355449676514,10,17.1414404878197,tiger_cat,0.12275195121765137,red_fox,0.08605866879224777,grey_fox,0.0775391235947609,tabby,0.016645656898617744,Egyptian_cat,0.015612265095114708,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
984,9850,1.0318026542663574,1.023674726486206,1.0238943099975586,1.0150874853134155,10,18.85793748374383,tiger_cat,0.12056796997785568,red_fox,0.08874106407165527,grey_fox,0.07501014322042465,lynx,0.0181108508259058,Egyptian_cat,0.01744999550282955,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
985,9860,1.0304861068725586,1.018336534500122,1.0224473476409912,0.9879758358001709,10,20.602309568414636,tiger_cat,0.1173115223646164,red_fox,0.08685197681188583,grey_fox,0.07429303973913193,kit_fox,0.017391396686434746,tabby,0.01684567704796791,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
986,9870,1.0326459407806396,1.0197311639785767,1.0206959247589111,1.0114736557006836,10,20.563521689119195,tiger_cat,0.1267644762992859,red_fox,0.09415292739868164,grey_fox,0.07165991514921188,Egyptian_cat,0.016845500096678734,tabby,0.016097016632556915,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
987,9880,1.0332374572753906,1.018996000289917,1.0155574083328247,1.0107307434082031,10,18.09144380354919,tiger_cat,0.1277250498533249,red_fox,0.09449978172779083,grey_fox,0.0711759477853775,Egyptian_cat,0.016649169847369194,tabby,0.016436420381069183,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
988,9890,1.0313236713409424,1.0118321180343628,1.0094928741455078,0.9991251826286316,10,19.37728148875979,tiger_cat,0.11824890971183777,red_fox,0.08694417774677277,grey_fox,0.07229182869195938,kit_fox,0.015712296590209007,lynx,0.015507323667407036,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
989,9900,1.036579966545105,1.0158271789550781,1.0153319835662842,1.00093674659729,10,18.12819454431101,tiger_cat,0.11752276867628098,red_fox,0.08093610405921936,grey_fox,0.07295940816402435,kit_fox,0.015821216627955437,tabby,0.01526722963899374,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
990,9910,1.0444241762161255,1.0189281702041626,1.0183230638504028,1.0030181407928467,10,18.51120204573624,tiger_cat,0.1381436437368393,red_fox,0.09370235353708267,grey_fox,0.06543926894664764,lynx,0.017201166599988937,Egyptian_cat,0.016805807128548622,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
991,9920,1.0386738777160645,1.0240113735198975,1.0226106643676758,1.0094056129455566,10,19.53788887119213,tiger_cat,0.1327415257692337,red_fox,0.09399422258138657,grey_fox,0.06915237009525299,lynx,0.01714295707643032,Egyptian_cat,0.016951777040958405,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
992,9930,1.0340642929077148,1.023613691329956,1.0256195068359375,1.011479377746582,10,17.463908912995823,tiger_cat,0.1292472779750824,red_fox,0.09519115090370178,grey_fox,0.07043647766113281,lynx,0.017315762117505074,Egyptian_cat,0.017076367512345314,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
993,9940,1.043229579925537,1.023407220840454,1.024097204208374,1.0015978813171387,10,19.273457102557504,tiger_cat,0.13084344565868378,red_fox,0.08762357383966446,grey_fox,0.06938749551773071,lynx,0.01779869943857193,Egyptian_cat,0.017007984220981598,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
994,9950,1.0376172065734863,1.0231170654296875,1.0206148624420166,1.012010931968689,10,19.50856939146955,tiger_cat,0.12673301994800568,red_fox,0.08907419443130493,grey_fox,0.0698176920413971,lynx,0.017988573759794235,kit_fox,0.01705700345337391,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
995,9960,1.0368289947509766,1.0247271060943604,1.0256623029708862,1.0069661140441895,10,20.242226461917465,tiger_cat,0.1267806589603424,red_fox,0.08999165892601013,grey_fox,0.0718957930803299,lynx,0.01810500957071781,kit_fox,0.01731710322201252,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
996,9970,1.0274337530136108,1.015425443649292,1.01692533493042,0.9955546259880066,10,23.014171381784482,tiger_cat,0.11811608076095581,red_fox,0.09069956839084625,grey_fox,0.07355444878339767,kit_fox,0.018431754782795906,lynx,0.017655719071626663,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
997,9980,1.0476428270339966,1.0185649394989014,1.0184355974197388,1.0011509656906128,10,23.446688959966284,tiger_cat,0.14065752923488617,red_fox,0.09300947189331055,grey_fox,0.0692552849650383,lynx,0.021398920565843582,Egyptian_cat,0.017304206266999245,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
998,9990,1.03476881980896,1.0220011472702026,1.0237648487091064,1.0045157670974731,10,23.363657716169776,tiger_cat,0.13383524119853973,red_fox,0.09912057220935822,grey_fox,0.07526269555091858,lynx,0.020081155002117157,Egyptian_cat,0.016882413998246193,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
999,10000,1.0359121561050415,1.0198177099227905,1.0202245712280273,1.004465937614441,10,14.589781177142559,tiger_cat,0.1335153877735138,red_fox,0.09753900021314621,grey_fox,0.07311097532510757,lynx,0.02155556157231331,Egyptian_cat,0.017173144966363907,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
1000,10010,1.0354524850845337,1.0250788927078247,1.0257633924484253,1.0099464654922485,10,16.94846319591998,tiger_cat,0.13016904890537262,red_fox,0.094725102186203,grey_fox,0.07074182480573654,lynx,0.023152543231844902,Egyptian_cat,0.017061734572052956,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
