Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
38,2730,0.3127397298812866,0.2853291928768158,0.2862160801887512,0.2644203305244446,70,33.57518959500898,espresso,0.6916013360023499,cup,0.03314932808279991,plate,0.010617394000291824,coffeepot,0.005606251303106546,chocolate_sauce,0.004382418002933264,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
39,2800,0.32009971141815186,0.29194721579551697,0.2929724156856537,0.2596292495727539,70,33.52898850569448,espresso,0.6843899488449097,cup,0.03524550423026085,plate,0.010595227591693401,coffeepot,0.005909669678658247,chocolate_sauce,0.004491802770644426,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
40,2870,0.3241479992866516,0.29716387391090393,0.298517107963562,0.27174943685531616,70,34.271713188881726,espresso,0.6812463998794556,cup,0.038254331797361374,plate,0.012268365360796452,coffeepot,0.005788846407085657,wooden_spoon,0.005394115578383207,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
41,2940,0.3389911651611328,0.30633196234703064,0.30512112379074097,0.2809262275695801,70,35.706190980443225,espresso,0.6658027172088623,cup,0.037421196699142456,plate,0.011897786520421505,coffeepot,0.0061653656885027885,chocolate_sauce,0.004801394417881966,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
42,3010,0.3581673502922058,0.3168356716632843,0.31565406918525696,0.28043603897094727,70,34.82754617997531,espresso,0.6479281783103943,cup,0.04434654489159584,plate,0.012564470060169697,coffeepot,0.006542909424751997,wooden_spoon,0.006052488461136818,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
43,3080,0.37391549348831177,0.3237496614456177,0.32173991203308105,0.28028595447540283,70,34.79373677599654,espresso,0.6325904726982117,cup,0.048212409019470215,plate,0.013680350035429,coffeepot,0.006867044605314732,wooden_spoon,0.006533448584377766,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
44,3150,0.3689207434654236,0.33735391497612,0.33637189865112305,0.2990988492965698,70,32.59395277494535,espresso,0.637669026851654,cup,0.044379305094480515,plate,0.013649034313857555,coffeepot,0.006596296094357967,wooden_spoon,0.006581731140613556,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
45,3220,0.3717641234397888,0.3432252109050751,0.34476885199546814,0.3142354488372803,70,31.696226450838438,espresso,0.6349139213562012,cup,0.047438845038414,plate,0.013290361501276493,wooden_spoon,0.006682880688458681,coffeepot,0.006513544823974371,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
46,3290,0.3794717788696289,0.3447299301624298,0.343097060918808,0.3227989673614502,70,31.14708475725369,espresso,0.6273002624511719,cup,0.05222800746560097,plate,0.013796789571642876,coffeepot,0.006875950843095779,wooden_spoon,0.0067931292578577995,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
47,3360,0.3843470811843872,0.3536320924758911,0.35274645686149597,0.32789790630340576,70,31.793973435886063,espresso,0.6232497692108154,cup,0.04962513595819473,plate,0.014524735510349274,wooden_spoon,0.007586963474750519,coffeepot,0.007187989540398121,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
48,3430,0.3925371766090393,0.3567734956741333,0.35602468252182007,0.324191153049469,70,33.68435436384472,espresso,0.613957941532135,cup,0.053456854075193405,plate,0.01301618106663227,coffeepot,0.006938280072063208,wooden_spoon,0.006424321327358484,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
