Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,bounded_mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
179,7200,0.870303750038147,0.8566275835037231,0.8567122220993042,0.8414695262908936,40,41.35229300948383,espresso,0.1397836059331894,cup,0.13342717289924622,plate,0.029864655807614326,coffeepot,0.012139393948018551,eggnog,0.010085449554026127,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
180,7240,0.8748832941055298,0.8598100543022156,0.8580610752105713,0.8472890853881836,40,39.79263183338507,espresso,0.1349462866783142,cup,0.12215699255466461,plate,0.028746379539370537,coffeepot,0.012380902655422688,eggnog,0.009816315025091171,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
181,7280,0.8755407929420471,0.8637229204177856,0.8627961874008179,0.8492751717567444,40,41.43624567540601,espresso,0.1354421228170395,cup,0.12416255474090576,plate,0.03417319804430008,coffeepot,0.012022390030324459,eggnog,0.011006604880094528,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
182,7320,0.8748636245727539,0.865161120891571,0.866771936416626,0.8473353385925293,40,43.553784647271264,cup,0.1343703269958496,espresso,0.12931297719478607,plate,0.025789646431803703,coffeepot,0.01273442804813385,eggnog,0.00923359114676714,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
183,7360,0.8749110698699951,0.8670692443847656,0.8682870864868164,0.8503478765487671,40,44.9110151459189,espresso,0.1358952820301056,cup,0.13294972479343414,plate,0.030063562095165253,coffeepot,0.013525775633752346,eggnog,0.010816462337970734,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
184,7400,0.8756115436553955,0.8672676086425781,0.8677939176559448,0.8548700213432312,40,44.90421852766237,espresso,0.1349376142024994,cup,0.13402159512043,plate,0.030146392062306404,coffeepot,0.012758355587720871,eggnog,0.010555864311754704,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
185,7440,0.8769186735153198,0.8676443099975586,0.8686383962631226,0.8562899827957153,40,45.92952415722098,espresso,0.13319577276706696,cup,0.1327357143163681,plate,0.027901869267225266,coffeepot,0.013833166100084782,eggnog,0.010093005374073982,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
186,7480,0.8789508938789368,0.8695051074028015,0.8689666986465454,0.8559079170227051,40,46.584642365433176,espresso,0.13042205572128296,cup,0.11018426716327667,plate,0.03159695118665695,coffeepot,0.012303898110985756,spatula,0.009380465373396873,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
187,7520,0.8790112733840942,0.8682986497879028,0.86944580078125,0.8537149429321289,40,47.10294818642243,espresso,0.1304410696029663,cup,0.11812093108892441,plate,0.027401508763432503,coffeepot,0.01144358329474926,eggnog,0.009465212002396584,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
188,7560,0.8851718306541443,0.8694452047348022,0.8691182136535645,0.851355791091919,40,46.572687845799784,espresso,0.12468624114990234,cup,0.11462122946977615,plate,0.027758382260799408,coffeepot,0.011119632050395012,eggnog,0.009857998229563236,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
189,7600,0.8840157985687256,0.872509777545929,0.8732930421829224,0.8428266644477844,40,47.191490276590926,espresso,0.1253238171339035,cup,0.12408769130706787,plate,0.022378548979759216,coffeepot,0.012106465175747871,eggnog,0.009322261437773705,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
190,7640,0.886151909828186,0.8727303743362427,0.8735238313674927,0.8546351790428162,40,48.243725702404994,espresso,0.1234029084444046,cup,0.11579835414886475,plate,0.024678615853190422,coffeepot,0.010819531045854092,eggnog,0.009548630565404892,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
191,7680,0.8896623849868774,0.8778328895568848,0.8783706426620483,0.8645737767219543,40,44.246806224166804,espresso,0.12023655325174332,cup,0.1101398691534996,plate,0.03072887659072876,coffeepot,0.012859244830906391,spatula,0.009903640486299992,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
192,7720,0.8893280625343323,0.8794957995414734,0.879483699798584,0.8652262687683105,40,44.623443740341095,espresso,0.1207197979092598,cup,0.1011229008436203,plate,0.03322697430849075,coffeepot,0.01174964290112257,eggnog,0.010054400190711021,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
193,7760,0.885907769203186,0.879141628742218,0.8797067403793335,0.8687222003936768,40,46.381040919841794,espresso,0.12345652282238007,cup,0.11822137236595154,plate,0.024776451289653778,coffeepot,0.01154439989477396,eggnog,0.009357184171676636,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
194,7800,0.8895940184593201,0.8795321583747864,0.8786672353744507,0.8697652816772461,40,46.68127580372272,espresso,0.12119957059621811,cup,0.11626267433166504,plate,0.026708127930760384,coffeepot,0.012143119238317013,eggnog,0.01078991312533617,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
195,7840,0.8887885212898254,0.8799789547920227,0.8803895711898804,0.8649761080741882,40,40.92711037316539,espresso,0.12139842659235,cup,0.11887554079294205,plate,0.033275287598371506,coffeepot,0.0121826296672225,eggnog,0.010196967050433159,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
196,7880,0.8911076784133911,0.8830569982528687,0.8831093311309814,0.8687071204185486,40,37.559747569176395,espresso,0.12039683759212494,cup,0.1174101009964943,plate,0.02628781460225582,coffeepot,0.012039398774504662,eggnog,0.011526250280439854,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
197,7920,0.8915746212005615,0.8833997845649719,0.8837140798568726,0.874535322189331,40,38.20727690389683,espresso,0.11906162649393082,cup,0.11840244382619858,plate,0.027570459991693497,coffeepot,0.012333408929407597,eggnog,0.01064330991357565,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
