Generation,Fitness function evaluations,Best fitness,Average fitness,Median fitness,Worst Fitness,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5
510,15330,1.5681043863296509,1.530516266822815,1.535306692123413,1.4826452732086182,32.76533009955268,tiger_cat,0.5870873928070068,Egyptian_cat,0.041487593203783035,tabby,0.03451866656541824,lynx,0.026683181524276733,red_fox,0.019001632928848267
511,15360,1.567209243774414,1.5336445569992065,1.536816954612732,1.5061192512512207,33.58655990648815,tiger_cat,0.5857900381088257,Egyptian_cat,0.04244399815797806,tabby,0.03576229512691498,lynx,0.02669384889304638,red_fox,0.018541911616921425
512,15390,1.5689921379089355,1.5365391969680786,1.536737322807312,1.5115060806274414,32.54041861973092,tiger_cat,0.5884566307067871,Egyptian_cat,0.04044169560074806,tabby,0.03551510348916054,lynx,0.025110507383942604,red_fox,0.019463472068309784
513,15420,1.5778065919876099,1.5332297086715698,1.531135082244873,1.4936131238937378,33.10150351654767,tiger_cat,0.594563364982605,Egyptian_cat,0.0442134253680706,tabby,0.03826938942074776,lynx,0.028292987495660782,red_fox,0.016756871715188026
514,15450,1.567037582397461,1.536783218383789,1.5345094203948975,1.4961087703704834,32.31681208253392,tiger_cat,0.5860463976860046,Egyptian_cat,0.046473339200019836,tabby,0.03573618829250336,lynx,0.029963722452521324,red_fox,0.019012626260519028
515,15480,1.5671544075012207,1.5367802381515503,1.5357998609542847,1.488490343093872,32.110972571134766,tiger_cat,0.5875092148780823,Egyptian_cat,0.04651198163628578,tabby,0.034711338579654694,lynx,0.03144324570894241,red_fox,0.020394062623381615
516,15510,1.5735492706298828,1.53172767162323,1.5310419797897339,1.4750251770019531,32.96622179101872,tiger_cat,0.59079509973526,Egyptian_cat,0.0419284924864769,tabby,0.036660581827163696,lynx,0.025507600978016853,red_fox,0.017268238589167595
517,15540,1.5774571895599365,1.530298113822937,1.5327399969100952,1.4488627910614014,33.43854448060342,tiger_cat,0.5973787307739258,Egyptian_cat,0.03390665724873543,tabby,0.03173574060201645,lynx,0.02924393303692341,red_fox,0.019983161240816116
518,15570,1.5906599760055542,1.5407135486602783,1.5420713424682617,1.5025570392608643,35.4911888906701,tiger_cat,0.6084768772125244,Egyptian_cat,0.03506108745932579,tabby,0.03209661692380905,lynx,0.029429856687784195,red_fox,0.01781943440437317
519,15600,1.5875959396362305,1.5491000413894653,1.5528963804244995,1.5093364715576172,34.78087014805608,tiger_cat,0.6054942011833191,Egyptian_cat,0.032563045620918274,tabby,0.03125220909714699,lynx,0.02720491774380207,red_fox,0.01796095445752144
520,15630,1.5830295085906982,1.5488663911819458,1.549730896949768,1.5132811069488525,29.306797101148984,tiger_cat,0.601913332939148,Egyptian_cat,0.034003693610429764,tabby,0.03247496858239174,lynx,0.030335279181599617,red_fox,0.018851175904273987
521,15660,1.5779823064804077,1.5459378957748413,1.550032377243042,1.4893988370895386,29.65950095457369,tiger_cat,0.5971577167510986,Egyptian_cat,0.033702410757541656,tabby,0.031131386756896973,lynx,0.028113335371017456,red_fox,0.01924922503530979
522,15690,1.58341646194458,1.5502150058746338,1.5508482456207275,1.518169641494751,27.62943075947149,tiger_cat,0.6030053496360779,Egyptian_cat,0.035352468490600586,tabby,0.032537609338760376,lynx,0.027614375576376915,red_fox,0.01961876079440117
523,15720,1.5895155668258667,1.5544357299804688,1.5560078620910645,1.530308485031128,27.977425522323742,tiger_cat,0.6079556345939636,tabby,0.03248933330178261,Egyptian_cat,0.031321074813604355,lynx,0.027556514367461205,red_fox,0.018440376967191696
524,15750,1.5927095413208008,1.5520708560943604,1.5455608367919922,1.520859956741333,29.447512093733103,tiger_cat,0.6113136410713196,tabby,0.032164230942726135,Egyptian_cat,0.032016366720199585,lynx,0.02702806331217289,red_fox,0.018572909757494926
525,15780,1.5780587196350098,1.5545411109924316,1.5600507259368896,1.5237175226211548,30.17079906482294,tiger_cat,0.5983648300170898,Egyptian_cat,0.033364564180374146,tabby,0.031090397387742996,lynx,0.028352776542305946,red_fox,0.020286250859498978
526,15810,1.5911376476287842,1.5472824573516846,1.5471718311309814,1.506084680557251,31.13294882800958,tiger_cat,0.6090350151062012,Egyptian_cat,0.03346143662929535,tabby,0.033033017069101334,lynx,0.027722841128706932,red_fox,0.01788291707634926
527,15840,1.5923746824264526,1.5533263683319092,1.5528433322906494,1.5009920597076416,32.33893732404331,tiger_cat,0.6105701327323914,Egyptian_cat,0.03169100731611252,tabby,0.03153980150818825,lynx,0.02699093334376812,red_fox,0.018117941915988922
528,15870,1.5965327024459839,1.5572447776794434,1.5642976760864258,1.5091285705566406,32.44866426542102,tiger_cat,0.6127015352249146,Egyptian_cat,0.03789885342121124,tabby,0.03244015574455261,lynx,0.026798322796821594,red_fox,0.016111643984913826
529,15900,1.598571538925171,1.569146752357483,1.5700445175170898,1.5321413278579712,32.46639998959639,tiger_cat,0.6177575588226318,Egyptian_cat,0.031140362843871117,tabby,0.030372705310583115,lynx,0.027920350432395935,red_fox,0.01912865974009037
530,15930,1.6004860401153564,1.5712484121322632,1.5726782083511353,1.5380945205688477,31.80125489803203,tiger_cat,0.6171610951423645,Egyptian_cat,0.03856276720762253,tabby,0.03507852926850319,lynx,0.027410132810473442,red_fox,0.0166639294475317
531,15960,1.6142059564590454,1.5755547285079956,1.576425552368164,1.541590929031372,32.01539071643985,tiger_cat,0.6299008727073669,Egyptian_cat,0.03507635369896889,tabby,0.03476397693157196,lynx,0.02938493900001049,red_fox,0.0156417079269886
532,15990,1.6168904304504395,1.5826127529144287,1.577469825744629,1.5541040897369385,33.11429434875767,tiger_cat,0.6328526735305786,Egyptian_cat,0.03673388436436653,tabby,0.03642020374536514,lynx,0.030293868854641914,red_fox,0.015946049243211746
533,16020,1.6261062622070312,1.5839736461639404,1.583877444267273,1.5439176559448242,31.471222504529752,tiger_cat,0.6411229372024536,Egyptian_cat,0.033074818551540375,tabby,0.03181244805455208,lynx,0.02666347846388817,red_fox,0.015027027577161789
534,16050,1.626954197883606,1.5944974422454834,1.5954530239105225,1.5558242797851562,28.59085590835971,tiger_cat,0.6447926759719849,tabby,0.03387671709060669,Egyptian_cat,0.03253031522035599,lynx,0.027223186567425728,red_fox,0.017830533906817436
