,Average fitness,Best fitness,Fitness function uses,Generation,Median fitness,Population size,Predicted class 1,Predicted class 2,Predicted class 3,Predicted class 4,Predicted class 5,Probability 1,Probability 2,Probability 3,Probability 4,Probability 5,Std Population,Worst Fitness,bounded_mutation_function,classes_to_avoid,crossover_function,elitism_count,max_change,mutation_function,mutation_rate,mutation_variance,selection_function,tournament_size
0,1.647788166999817,1.7124056816101074,6020,85,1.6501953601837158,70,washbasin,bathtub,tabby,tub,tiger_cat,0.7522539496421814,0.10683555901050568,0.03979823365807533,0.030182786285877224,0.017822336405515667,32.846951230091896,1.5880944728851318,UniformIntegerMutation,5,OnePointCrossover,,15,Projection,0.05,5,TournamentSelection,4
1,1.640673279762268,1.7029681205749512,7280,103,1.6425644159317017,70,0.7395655512809753,0.10344330966472626,0.036878641694784164,0.036561567336320884,0.02315986342728138,washbasin,bathtub,tub,tabby,tiger_cat,34.021350154375554,1.5591939687728882,UniformIntegerMutation,5,OnePointCrossover,,15,Projection,0.05,5,TournamentSelection,4
2,1.6428259611129759,1.7033677101135254,7490,106,1.6429839134216309,70,washbasin,bathtub,tub,tabby,tiger_cat,0.7362387180328369,0.11474917829036713,0.03312204033136368,0.03287336975336075,0.021122809499502185,40.21178150510819,1.549448847770691,UniformIntegerMutation,5,OnePointCrossover,,15,Projection,0.05,5,TournamentSelection,4
3,1.6539363861083984,1.7045028209686282,7770,110,1.651909351348877,70,0.7397953867912292,0.11140994727611543,0.03528495877981186,0.024011226370930668,0.02140096202492714,washbasin,bathtub,tabby,tiger_cat,tub,34.073294007366044,1.596651911735535,UniformIntegerMutation,5,OnePointCrossover,,15,Projection,0.05,5,TournamentSelection,4
4,1.6447120904922483,1.7110042572021484,8470,120,1.6455880403518677,70,0.7420424818992615,0.11171776801347733,0.034055784344673164,0.031058086082339287,0.02049983292818069,washbasin,bathtub,tub,tabby,tiger_cat,38.1433185728604,1.5783829689025881,UniformIntegerMutation,5,OnePointCrossover,,15,Projection,0.05,5,TournamentSelection,4
5,1.6478006839752195,1.7062519788742063,6090,86,1.649726152420044,70,washbasin,bathtub,tabby,tiger_cat,tub,0.7474495172500609,0.09082546830177307,0.04120457172393799,0.029801929369568825,0.0204714760184288,39.80341412484354,1.6042048931121826,UniformIntegerMutation,5,OnePointCrossover,,15,Projection,0.05,5,TournamentSelection,4
6,1.6439669132232666,1.7023756504058838,8680,123,1.641874074935913,70,0.7350813150405884,0.10183090716600418,0.03271125629544258,0.027311569079756737,0.022845285013318062,washbasin,bathtub,tabby,tiger_cat,tub,33.8920043757929,1.5852043628692627,UniformIntegerMutation,5,OnePointCrossover,,15,Projection,0.05,5,TournamentSelection,4
7,1.6487804651260376,1.70606791973114,7070,100,1.650596022605896,70,0.7442695498466492,0.09229205548763277,0.03818388283252716,0.02480039745569229,0.023795111104846,washbasin,bathtub,tabby,tiger_cat,tub,36.704086199467,1.5978035926818848,UniformIntegerMutation,5,OnePointCrossover,,15,Projection,0.05,5,TournamentSelection,4
8,1.6614526510238647,1.7091612815856934,7420,105,1.662381649017334,70,washbasin,bathtub,tub,tabby,tiger_cat,0.7416546940803528,0.09657437354326248,0.03746659308671951,0.03251626342535019,0.01676409691572189,29.362388495555162,1.5910232067108154,UniformIntegerMutation,5,OnePointCrossover,,15,Projection,0.05,5,TournamentSelection,4
9,1.642467975616455,1.7209434509277344,8820,125,1.6425672769546509,70,washbasin,bathtub,tabby,tiger_cat,tub,0.7552224397659302,0.07720594853162767,0.034286919981241226,0.02798081748187542,0.02790053002536297,34.89724456959569,1.5481371879577637,UniformIntegerMutation,5,OnePointCrossover,,15,Projection,0.05,5,TournamentSelection,4
