,Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,bounded_mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
0,580,11620,1.7319047451019287,1.6032669544219968,1.59358549118042,1.5126104354858398,20,30.473089231229558,wooden_spoon,0.8018245100975037,espresso,0.06991849839687347,plate,0.015818024054169655,spatula,0.012642109766602516,cup,0.010798045434057713,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
1,489,9800,1.7064032554626465,1.6133184432983398,1.6074469089508057,1.5194643735885618,20,37.08793256742928,wooden_spoon,0.7760776877403259,espresso,0.06967362016439438,spatula,0.019895382225513455,plate,0.017074374482035637,cup,0.008009279146790504,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
2,451,9040,1.709320068359375,1.6117591857910156,1.615312576293945,1.5210579633712769,20,30.130679352537523,wooden_spoon,0.7936562299728394,espresso,0.0843372642993927,plate,0.014536437578499315,spatula,0.010639168322086334,cup,0.008769918233156204,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
3,462,9260,1.701532959938049,1.6297054290771484,1.6303720474243164,1.5615077018737793,20,32.307339037794236,wooden_spoon,0.7920942306518555,espresso,0.0905602052807808,plate,0.011872057802975178,spatula,0.010760681703686714,cup,0.010661495849490166,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
4,423,8480,1.7307528257369995,1.5992317199707031,1.6021167039871216,1.5307490825653076,20,30.480389021703786,wooden_spoon,0.815302848815918,espresso,0.08455006033182144,plate,0.010270917788147926,spatula,0.006397172808647157,cup,0.005852248519659042,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
5,588,11780,1.7084494829177856,1.5945467948913574,1.5906256437301636,1.5241972208023071,20,35.4450024755446,wooden_spoon,0.7923011183738708,espresso,0.08385371416807175,spatula,0.010300814174115658,cup,0.010060060769319534,plate,0.006279256660491228,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
6,504,10100,1.7056632041931152,1.6014251708984375,1.604113221168518,1.4992448091506958,20,35.51956559389644,wooden_spoon,0.7850081324577332,espresso,0.07934650778770448,plate,0.01291344314813614,cup,0.01213605049997568,spatula,0.009140124544501305,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
7,428,8580,1.7269117832183838,1.5851852893829346,1.585100173950195,1.4308868646621704,20,37.995852796740756,wooden_spoon,0.8130037188529968,espresso,0.08609259873628616,spatula,0.008568624034523964,cup,0.006544237956404686,plate,0.0059608384035527715,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
8,491,9840,1.7027788162231443,1.6029393672943115,1.626461386680603,1.4238903522491455,20,31.831769581558927,wooden_spoon,0.7828882932662964,espresso,0.08010797947645187,plate,0.020246349275112152,cup,0.01255788467824459,spatula,0.008894989266991615,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
9,546,10940,1.706989288330078,1.5746674537658691,1.5770673751831057,1.4297761917114258,20,39.41475076126099,wooden_spoon,0.8015782833099365,espresso,0.09458844363689424,spatula,0.01030175294727087,cup,0.009177501313388348,plate,0.00806477200239897,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
