,Average fitness,Best fitness,Fitness function uses,Generation,Median fitness,Population size,Predicted class 1,Predicted class 2,Predicted class 3,Predicted class 4,Predicted class 5,Probability 1,Probability 2,Probability 3,Probability 4,Probability 5,Std Population,Worst Fitness,bounded_mutation_function,classes_to_avoid,crossover_function,max_change,mutation_function,mutation_rate,mutation_variance,selection_function,tournament_size
0,1.6549859046936035,1.7046635150909424,14420,205,1.653984546661377,70,0.7608464956283569,0.05614401400089264,0.013483984395861627,0.011854403652250768,0.01057987567037344,wooden_spoon,espresso,spatula,cup,plate,27.62200400331725,1.592432737350464,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,10
1,1.6278134584426882,1.7078334093093872,15120,215,1.6229583024978638,70,0.762905478477478,0.05499114096164704,0.015133925713598728,0.014249517582356932,0.013392530381679537,wooden_spoon,espresso,plate,spatula,cup,22.052323483975126,1.5517134666442869,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,10
2,1.6512980461120603,1.719008207321167,13930,198,1.654213547706604,70,wooden_spoon,espresso,cup,spatula,plate,0.7562416791915894,0.0371815450489521,0.013803464360535143,0.013473321683704851,0.009233768098056316,24.07331326791841,1.5922553539276123,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,10
3,1.658721685409546,1.7015397548675537,15190,216,1.659492254257202,70,wooden_spoon,espresso,spatula,cup,plate,0.7528107762336731,0.05126795545220375,0.012069429270923138,0.0112033449113369,0.00880002323538065,21.731921016355944,1.6022601127624512,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,10
4,1.654710054397583,1.712990164756775,17500,249,1.6561381816864014,70,0.7655129432678223,0.052541758865118034,0.018455995246768,0.015974085777997967,0.01325542200356722,wooden_spoon,espresso,spatula,plate,cup,22.604639343797306,1.5766721963882446,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,10
5,1.655264377593994,1.709073543548584,13090,186,1.6581604480743408,70,0.7631089687347412,0.05407533049583435,0.013706047087907793,0.010788992047309877,0.009015791118144987,wooden_spoon,espresso,spatula,cup,plate,27.82178660616373,1.59049654006958,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,10
6,1.6443504095077517,1.70134174823761,12320,175,1.644275426864624,70,wooden_spoon,espresso,plate,cup,spatula,0.7549178004264832,0.053600549697875984,0.020384257659316063,0.014347882010042669,0.011953826993703842,25.785979126969924,1.5525447130203247,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,10
7,1.6558187007904053,1.7126660346984863,17150,244,1.6590127944946291,70,wooden_spoon,espresso,plate,cup,spatula,0.7726201415061951,0.05997151881456375,0.02227188087999821,0.016639431938529015,0.009065136313438416,24.35599268767452,1.5978269577026367,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,10
8,1.6215603351593018,1.7156736850738523,10290,146,1.6245274543762207,70,wooden_spoon,espresso,plate,spatula,cup,0.7738980054855347,0.05830856785178185,0.0192248709499836,0.01654399186372757,0.011505951173603536,23.961581940610053,1.5254212617874146,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,10
9,1.659088969230652,1.701479196548462,24640,351,1.6578810214996338,70,spatula,espresso,wooden_spoon,plate,ice_lolly,0.7543555498123169,0.052851781249046326,0.028936780989170074,0.010822680778801441,0.007733857259154321,20.66597662752032,1.6146092414855957,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,10
