,Average fitness,Best fitness,Fitness function uses,Generation,Median fitness,Population size,Predicted class 1,Predicted class 2,Predicted class 3,Predicted class 4,Predicted class 5,Probability 1,Probability 2,Probability 3,Probability 4,Probability 5,Std Population,Worst Fitness,bounded_mutation_function,classes_to_avoid,crossover_function,max_change,mutation_function,mutation_rate,mutation_variance,selection_function,tournament_size
0,1.6439703702926636,1.700329303741455,14980,213,1.6443504095077517,70,0.7275579571723938,0.02726893313229084,0.022925864905118942,0.018338643014431,0.014696563594043257,Tibetan_terrier,Appenzeller,basenji,pug,Tibetan_mastiff,34.57057390176669,1.5689704418182373,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
1,1.6717882156372068,1.711406946182251,15330,218,1.671108961105347,70,0.7344627976417542,0.023059414699673653,0.02056735381484032,0.018432142212986943,0.017278041690587997,Tibetan_terrier,Appenzeller,basenji,Lhasa,pug,28.636672179135928,1.6224236488342283,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
2,1.65048086643219,1.7060166597366333,16660,237,1.649075269699097,70,French_bulldog,pug,Brabancon_griffon,Boston_bull,boxer,0.7582645416259766,0.05225465074181557,0.011613191105425358,0.006514372769743204,0.004983121994882822,40.81217008046432,1.5948438644409182,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
3,1.660908341407776,1.7007684707641602,23380,333,1.6598572731018066,70,French_bulldog,pug,Brabancon_griffon,boxer,Boston_bull,0.7712668776512146,0.07040852308273315,0.012510004453361034,0.0069814478047192105,0.004594144411385059,36.09467660781455,1.6194934844970703,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
4,1.652432560920715,1.710477352142334,12530,178,1.651914358139038,70,0.7671744823455809,0.056728862226009376,0.008697409182786942,0.008133783005177975,0.005541222635656595,French_bulldog,pug,boxer,Brabancon_griffon,bull_mastiff,35.3360920499474,1.5985825061798096,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
5,1.6600321531295776,1.703866958618164,11970,170,1.6609053611755369,70,French_bulldog,pug,Brabancon_griffon,boxer,basenji,0.7546113133430481,0.050751954317092896,0.015721097588539124,0.009418766014277937,0.006500129587948322,36.01161047325167,1.5964397192001345,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
6,1.6508207321166992,1.7091994285583496,15190,216,1.6494278907775881,70,Tibetan_terrier,Lhasa,Appenzeller,Tibetan_mastiff,Shih-Tzu,0.7286094427108765,0.03058861941099167,0.019412599503993988,0.017403176054358482,0.016667777672410008,32.845926129288245,1.6242502927780151,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
7,1.670185089111328,1.705740451812744,15750,224,1.6695408821105957,70,0.7635200023651123,0.057757120579481125,0.0072365147061645985,0.004983936902135611,0.00471092015504837,French_bulldog,pug,Brabancon_griffon,boxer,basenji,35.334590933508245,1.6270439624786377,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
8,1.6380761861801147,1.7066178321838381,19740,281,1.6345303058624268,70,0.7545281648635864,0.047931715846061713,0.0178312249481678,0.013410214334726334,0.007150070741772652,French_bulldog,pug,boxer,Brabancon_griffon,Boston_bull,36.080806221165254,1.5751104354858398,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
9,1.66388201713562,1.7021408081054688,13510,192,1.6651140451431274,70,0.7636074423789978,0.06143853068351745,0.009813781827688215,0.005084881093353033,0.004137195181101561,French_bulldog,pug,Brabancon_griffon,boxer,basenji,33.92858852240925,1.6216118335723877,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
10,1.647644281387329,1.7022099494934082,19530,278,1.6479845046997068,70,0.765079915523529,0.06285686045885086,0.012534845620393751,0.0097082806751132,0.0054614655673503884,French_bulldog,pug,Brabancon_griffon,boxer,Boston_bull,38.324277097472645,1.5888962745666504,UniformIntegerMutation,5,OnePointCrossover,15,Reflection,0.05,5,TournamentSelection,4
11,1.6467392444610596,1.7037267684936523,20860,297,1.6471507549285889,70,0.7651594281196594,0.061430148780345924,0.00944160297513008,0.009135536849498749,0.00814847834408283,French_bulldog,pug,Brabancon_griffon,boxer,Boston_bull,39.1967666699946,1.5895123481750488,UniformIntegerMutation,5,OnePointCrossover,15,Reflection,0.05,5,TournamentSelection,4
12,1.651608109474182,1.7050893306732178,20160,287,1.6486830711364746,70,0.7553982138633728,0.05024838820099831,0.012429765425622463,0.009947932325303556,0.009244798682630062,French_bulldog,pug,Brabancon_griffon,Boston_bull,boxer,39.39104408622581,1.6143541336059568,UniformIntegerMutation,5,OnePointCrossover,15,Reflection,0.05,5,TournamentSelection,4
13,1.6598774194717407,1.7120286226272583,19460,277,1.6568343639373782,70,French_bulldog,pug,boxer,Brabancon_griffon,Boston_bull,0.7675045728683472,0.05540858954191208,0.013827893882989885,0.011663147248327732,0.005007206927984953,36.96679288158917,1.6025309562683103,UniformIntegerMutation,5,OnePointCrossover,15,Reflection,0.05,5,TournamentSelection,4
14,1.6454302072525024,1.7008805274963381,16940,241,1.6435120105743408,70,French_bulldog,pug,Brabancon_griffon,boxer,Boston_bull,0.746827244758606,0.04595131799578667,0.011444929987192154,0.010147521272301674,0.007186511065810919,32.94636799632319,1.5947363376617432,UniformIntegerMutation,5,OnePointCrossover,15,Reflection,0.05,5,TournamentSelection,4
