,Average fitness,Best fitness,Fitness function uses,Generation,Median fitness,Population size,Predicted class 1,Predicted class 2,Predicted class 3,Predicted class 4,Predicted class 5,Probability 1,Probability 2,Probability 3,Probability 4,Probability 5,Std Population,Worst Fitness,bounded_mutation_function,classes_to_avoid,crossover_function,max_change,mutation_function,mutation_rate,mutation_variance,selection_function,tournament_size
0,1.613394021987915,1.70465350151062,18480,263,1.6189627647399902,70,wooden_spoon,espresso,cup,plate,spatula,0.7576369047164917,0.05301439017057419,0.02492673881351948,0.01280086115002632,0.008804276585578918,33.70014270907411,1.4938029050827026,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
1,1.6178251504898071,1.7275011539459229,19250,274,1.6136747598648071,70,wooden_spoon,espresso,spatula,cup,plate,0.7930379509925842,0.06554654240608215,0.017738617956638336,0.011394240893423556,0.010211599059402944,36.141363846082655,1.5453836917877195,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
2,1.594602346420288,1.7010748386383057,20580,293,1.5899200439453125,70,0.7566283345222473,0.05548030883073807,0.019066864624619484,0.013698574155569077,0.01041825395077467,wooden_spoon,espresso,plate,spatula,cup,36.638748725692786,1.4480278491973877,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
3,1.626050353050232,1.7007193565368652,17850,254,1.6296738386154177,70,0.7641390562057495,0.06332763284444809,0.011940686963498592,0.011770550161600113,0.008173225447535515,wooden_spoon,espresso,cup,spatula,plate,34.987505352190894,1.535097360610962,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
4,1.5969094038009644,1.7139650583267212,24010,342,1.5969833135604858,70,wooden_spoon,espresso,cup,plate,spatula,0.7594054937362671,0.04540563002228737,0.017290977761149406,0.013792861253023148,0.010938582941889765,31.029952681896173,1.5109970569610596,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
5,1.6398427486419678,1.7152953147888184,23380,333,1.6387401819229126,70,0.7630747556686401,0.04766882210969925,0.020675599575042725,0.015941986814141273,0.01186284516006708,wooden_spoon,espresso,cup,plate,spatula,33.97977939031548,1.560290813446045,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
6,1.61747944355011,1.718820095062256,18620,265,1.6259340047836304,70,wooden_spoon,espresso,cup,plate,spatula,0.77248215675354,0.05366715788841248,0.018978144973516464,0.016585908830165863,0.010309637524187565,30.69348933020045,1.5323894023895264,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
7,1.6247574090957642,1.7108211517333984,16240,231,1.622409105300903,70,wooden_spoon,espresso,spatula,cup,plate,0.7695920467376709,0.05864359065890312,0.020012982189655304,0.012547248043119907,0.007771451491862535,31.85361923813881,1.4926955699920654,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
8,1.6414730548858645,1.7007489204406738,17290,246,1.6462053060531616,70,0.7506978511810303,0.049957659095525735,0.017544357106089592,0.016015550121665,0.010565738193690777,wooden_spoon,espresso,spatula,cup,plate,34.802474636235345,1.5340948104858398,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
9,1.60966956615448,1.7079013586044312,18690,266,1.6081812381744385,70,wooden_spoon,espresso,spatula,plate,cup,0.7591215968132019,0.051162894815206535,0.015798592939972878,0.013811414130032064,0.013713795691728592,37.918619339805105,1.5106686353683472,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
10,1.5662819147109983,1.7073427438735962,19600,279,1.568047046661377,70,0.7685111165046692,0.06122925505042076,0.015006089583039284,0.01358596794307232,0.010302765294909477,wooden_spoon,espresso,plate,spatula,cup,35.58474911463276,1.4646366834640503,UniformIntegerMutation,5,OnePointCrossover,15,Reflection,0.05,5,TournamentSelection,4
11,1.6321663856506348,1.7038688659667969,22540,321,1.6351293325424194,70,wooden_spoon,espresso,cup,spatula,plate,0.7619577646255493,0.05807073786854744,0.021046223118901253,0.013097010552883148,0.011816257610917091,38.62684293995745,1.511063814163208,UniformIntegerMutation,5,OnePointCrossover,15,Reflection,0.05,5,TournamentSelection,4
12,1.606493592262268,1.7065205574035645,16870,240,1.6045591831207275,70,wooden_spoon,espresso,plate,spatula,cup,0.7765156030654907,0.07002900540828705,0.013415258377790451,0.011095276102423668,0.010391595773398876,38.18936869753736,1.5342986583709717,UniformIntegerMutation,5,OnePointCrossover,15,Reflection,0.05,5,TournamentSelection,4
13,1.6345275640487669,1.7171504497528076,21840,311,1.6382081508636477,70,wooden_spoon,espresso,cup,plate,spatula,0.7709401845932007,0.05382714793086052,0.018560450524091717,0.017007501795887947,0.011202605441212654,37.413143463071606,1.551932454109192,UniformIntegerMutation,5,OnePointCrossover,15,Reflection,0.05,5,TournamentSelection,4
14,1.6273199319839478,1.7074785232543943,19320,275,1.631450653076172,70,wooden_spoon,espresso,spatula,plate,cup,0.7642874121665955,0.05688852444291115,0.018472997471690174,0.011789211072027685,0.01168154738843441,31.9080839280913,1.5520358085632324,UniformIntegerMutation,5,OnePointCrossover,15,Reflection,0.05,5,TournamentSelection,4
