,Average fitness,Best fitness,Fitness function uses,Generation,Median fitness,Population size,Predicted class 1,Predicted class 2,Predicted class 3,Predicted class 4,Predicted class 5,Probability 1,Probability 2,Probability 3,Probability 4,Probability 5,Std Population,Worst Fitness,bounded_mutation_function,classes_to_avoid,crossover_function,max_change,mutation_function,mutation_rate,mutation_variance,selection_function,tournament_size
0,1.6519359350204468,1.7093899250030518,37400,373,1.6510227918624878,100,tiger_cat,Egyptian_cat,tabby,lynx,grey_fox,0.7149507403373718,0.04553042352199554,0.0372721366584301,0.0176390428096056,0.005521887447685003,29.84713775148479,1.61518132686615,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
1,1.5971771478652954,1.7023636102676392,30100,300,1.596585035324097,100,0.7143723368644714,0.011934523470699787,0.011914701201021671,0.008507581427693367,0.004175309557467699,strainer,kit_fox,grey_fox,red_fox,frying_pan,35.519341197655784,1.4962505102157593,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
2,1.6714423894882202,1.702413558959961,47000,469,1.6722313165664673,100,0.7087238430976868,0.04737761989235878,0.03123023360967636,0.02142988331615925,0.00633092550560832,tiger_cat,tabby,Egyptian_cat,lynx,grey_fox,35.949437372219826,1.643125295639038,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
3,1.6639316082000732,1.7036373615264893,33500,334,1.6648788452148438,100,0.7091147303581238,0.0452762134373188,0.03178505972027778,0.029606722295284268,0.0054615363478660575,tiger_cat,tabby,lynx,Egyptian_cat,red_fox,33.4170439756873,1.6319431066513062,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
4,1.6685857772827148,1.7030208110809326,39900,398,1.6700073480606081,100,tiger_cat,Egyptian_cat,tabby,lynx,red_fox,0.7096714973449707,0.05564485490322113,0.04884613305330277,0.01668420061469078,0.006635149475187063,33.26105609164848,1.6361815929412842,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
5,1.661430835723877,1.708336353302002,44400,443,1.6610511541366575,100,0.7148540616035461,0.031156923621892933,0.026943197473883632,0.01981208473443985,0.006545789539813995,tiger_cat,tabby,Egyptian_cat,lynx,car_mirror,32.87880373442885,1.6071934700012207,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
6,1.653037667274475,1.701011300086975,35100,350,1.6525874137878418,100,tiger_cat,Egyptian_cat,tabby,lynx,red_fox,0.7067816257476807,0.04274055361747742,0.04120466485619545,0.020428955554962158,0.005751442164182663,35.678499228775074,1.6198763847351074,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
7,1.6525405645370483,1.7028509378433228,47400,473,1.6522171497344968,100,tiger_cat,tabby,Egyptian_cat,lynx,red_fox,0.7093406915664673,0.05536480993032456,0.039742544293403625,0.019778216257691383,0.006462991703301668,37.23925813246106,1.605055570602417,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
8,1.6674244403839111,1.701181411743164,33400,333,1.665718913078308,100,tiger_cat,tabby,Egyptian_cat,lynx,red_fox,0.70707106590271,0.04354701191186905,0.04234174638986588,0.017901970073580742,0.005889444146305323,34.927164124962424,1.6400322914123535,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
9,1.6645649671554563,1.7018581628799438,35600,355,1.6657811403274536,100,tiger_cat,tabby,Egyptian_cat,lynx,red_fox,0.7071285247802734,0.04068632051348686,0.031461071223020554,0.023330412805080414,0.00526513857766986,33.011725012773255,1.6349630355834959,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
10,1.4671952724456787,1.5244081020355225,46150,4614,1.4623554944992063,10,tiger_cat,Egyptian_cat,red_fox,lynx,tabby,0.5624178051948547,0.05422624945640564,0.038012195378541946,0.03635939210653305,0.033351749181747437,14.959014929654325,1.4329313039779663,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
11,1.668556809425354,1.7062325477600098,34830,3482,1.667370080947876,10,0.7153282165527344,0.0706935003399849,0.038400016725063324,0.030109146609902382,0.009094203822314741,tiger_cat,Egyptian_cat,tabby,lynx,red_fox,15.289726020907375,1.6366417407989502,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
12,1.3075333833694458,1.3420977592468262,33640,3363,1.299480676651001,10,tiger_cat,Egyptian_cat,red_fox,lynx,tabby,0.402404248714447,0.07157329469919205,0.06030801311135293,0.03906727582216263,0.033564209938049316,14.361527658555724,1.2820639610290527,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
13,1.659737229347229,1.7196568250656128,7290,728,1.6551625728607178,10,strainer,red_fox,kit_fox,grey_fox,frying_pan,0.7447746992111206,0.025119706988334656,0.02211826853454113,0.02102735824882984,0.0034751533530652523,17.833310208645614,1.616187572479248,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
14,1.3803977966308594,1.4125407934188845,45030,4502,1.3863818645477295,10,0.466356486082077,0.05861295759677888,0.053815953433513634,0.03967108577489853,0.03356766328215599,tiger_cat,Egyptian_cat,red_fox,lynx,tabby,17.549146686602143,1.329843282699585,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
15,1.6775596141815186,1.7035675048828125,40420,4041,1.6734907627105713,10,tiger_cat,Egyptian_cat,tabby,lynx,red_fox,0.7166351675987244,0.07101088017225267,0.04437930509448052,0.019836166873574257,0.013066604733467102,18.244344934271464,1.6591465473175049,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
16,1.6655228137969968,1.7241475582122805,9210,920,1.6679974794387815,10,strainer,red_fox,kit_fox,grey_fox,squirrel_monkey,0.7534417510032654,0.029293911531567574,0.02218585088849068,0.02142687700688839,0.0019569580908864732,16.023599336064333,1.6086045503616333,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
17,1.61647629737854,1.6291782855987549,37010,3700,1.6163065433502195,10,tiger_cat,Egyptian_cat,tabby,lynx,red_fox,0.6438689827919006,0.07629703730344772,0.03623946383595466,0.02906537614762783,0.014688795432448387,15.235702668302412,1.5921931266784668,UniformIntegerMutation,5,OnePointCrossover,15,Projection,0.05,5,TournamentSelection,4
